library,gemgroup,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,bam,bam_index,barcodes,features,matrix
KD8_p1_68,62,KD8_seq1_p1_mRNA_68_S69_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_68_S69_L001_R2_001.fastq.gz,KD8_seq1_p1_mRNA_68_S69_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_68_S69_L002_R2_001.fastq.gz,KD8_seq1_p1_mRNA_68_S69_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_68_S69_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_68_S69_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_68_S69_L004_R2_001.fastq.gz,KD8_seq2_p1_mRNA_68_S69_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_68_S69_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_68_S69_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_68_S69_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_68_S69_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_68_S69_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_68_S69_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_68_S69_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_68_S69_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_68_S69_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_68_S69_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_68_S69_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_68_S69_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_68_S69_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_68_S69_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_68_S69_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_68_S69_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_68_S69_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_68_S69_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_68_S69_L003_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_68_S69_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_68_S69_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_68_S69_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_68_S69_L004_R2_001.fastq.gz,KD8_p1_68_possorted_genome_bam.bam,KD8_p1_68_possorted_genome_bam.bam.bai,KD8_p1_68_barcodes.tsv.gz,KD8_p1_68_features.tsv.gz,KD8_p1_68_matrix.mtx.gz
KD8_p1_69,63,KD8_seq1_p1_mRNA_69_S70_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_69_S70_L004_R2_001.fastq.gz,KD8_seq1_p1_mRNA_69_S70_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_69_S70_L002_R2_001.fastq.gz,KD8_seq1_p1_mRNA_69_S70_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_69_S70_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_69_S70_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_69_S70_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_69_S70_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_69_S70_L004_R2_001.fastq.gz,KD8_seq2_p1_mRNA_69_S70_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_69_S70_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_69_S70_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_69_S70_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_69_S70_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_69_S70_L001_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_69_S70_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_69_S70_L001_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_69_S70_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_69_S70_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_69_S70_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_69_S70_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_69_S70_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_69_S70_L004_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_69_S70_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_69_S70_L004_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_69_S70_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_69_S70_L003_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_69_S70_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_69_S70_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_69_S70_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_69_S70_L001_R2_001.fastq.gz,KD8_p1_69_possorted_genome_bam.bam,KD8_p1_69_possorted_genome_bam.bam.bai,KD8_p1_69_barcodes.tsv.gz,KD8_p1_69_features.tsv.gz,KD8_p1_69_matrix.mtx.gz
KD8_p1_70,65,KD8_seq1_p1_mRNA_70_S71_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_70_S71_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_70_S71_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_70_S71_L002_R2_001.fastq.gz,KD8_seq1_p1_mRNA_70_S71_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_70_S71_L001_R2_001.fastq.gz,KD8_seq1_p1_mRNA_70_S71_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_70_S71_L004_R2_001.fastq.gz,KD8_seq2_p1_mRNA_70_S71_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_70_S71_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_70_S71_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_70_S71_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_70_S71_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_70_S71_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_70_S71_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_70_S71_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_70_S71_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_70_S71_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_70_S71_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_70_S71_L001_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_70_S71_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_70_S71_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_70_S71_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_70_S71_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_70_S71_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_70_S71_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_70_S71_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_70_S71_L003_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_70_S71_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_70_S71_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_70_S71_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_70_S71_L004_R2_001.fastq.gz,KD8_p1_70_possorted_genome_bam.bam,KD8_p1_70_possorted_genome_bam.bam.bai,KD8_p1_70_barcodes.tsv.gz,KD8_p1_70_features.tsv.gz,KD8_p1_70_matrix.mtx.gz
KD8_p1_71,66,KD8_seq1_p1_mRNA_71_S72_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_71_S72_L004_R2_001.fastq.gz,KD8_seq1_p1_mRNA_71_S72_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_71_S72_L001_R2_001.fastq.gz,KD8_seq1_p1_mRNA_71_S72_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_71_S72_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_71_S72_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_71_S72_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_71_S72_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_71_S72_L004_R2_001.fastq.gz,KD8_seq2_p1_mRNA_71_S72_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_71_S72_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_71_S72_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_71_S72_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_71_S72_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_71_S72_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_71_S72_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_71_S72_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_71_S72_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_71_S72_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_71_S72_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_71_S72_L001_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_71_S72_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_71_S72_L004_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_71_S72_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_71_S72_L004_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_71_S72_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_71_S72_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_71_S72_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_71_S72_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_71_S72_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_71_S72_L003_R2_001.fastq.gz,KD8_p1_71_possorted_genome_bam.bam,KD8_p1_71_possorted_genome_bam.bam.bai,KD8_p1_71_barcodes.tsv.gz,KD8_p1_71_features.tsv.gz,KD8_p1_71_matrix.mtx.gz
KD8_p1_72,67,KD8_seq1_p1_mRNA_72_S73_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_72_S73_L001_R2_001.fastq.gz,KD8_seq1_p1_mRNA_72_S73_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_72_S73_L002_R2_001.fastq.gz,KD8_seq1_p1_mRNA_72_S73_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_72_S73_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_72_S73_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_72_S73_L004_R2_001.fastq.gz,KD8_seq2_p1_mRNA_72_S73_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_72_S73_L004_R2_001.fastq.gz,KD8_seq2_p1_mRNA_72_S73_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_72_S73_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_72_S73_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_72_S73_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_72_S73_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_72_S73_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_72_S73_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_72_S73_L001_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_72_S73_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_72_S73_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_72_S73_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_72_S73_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_72_S73_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_72_S73_L004_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_72_S73_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_72_S73_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_72_S73_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_72_S73_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_72_S73_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_72_S73_L003_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_72_S73_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_72_S73_L004_R2_001.fastq.gz,KD8_p1_72_possorted_genome_bam.bam,KD8_p1_72_possorted_genome_bam.bam.bai,KD8_p1_72_barcodes.tsv.gz,KD8_p1_72_features.tsv.gz,KD8_p1_72_matrix.mtx.gz
KD8_p1_73,68,KD8_seq1_p1_mRNA_73_S74_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_73_S74_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_73_S74_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_73_S74_L002_R2_001.fastq.gz,KD8_seq1_p1_mRNA_73_S74_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_73_S74_L001_R2_001.fastq.gz,KD8_seq1_p1_mRNA_73_S74_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_73_S74_L004_R2_001.fastq.gz,KD8_seq2_p1_mRNA_73_S74_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_73_S74_L004_R2_001.fastq.gz,KD8_seq2_p1_mRNA_73_S74_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_73_S74_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_73_S74_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_73_S74_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_73_S74_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_73_S74_L001_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_73_S74_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_73_S74_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_73_S74_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_73_S74_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_73_S74_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_73_S74_L001_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_73_S74_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_73_S74_L004_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_73_S74_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_73_S74_L003_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_73_S74_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_73_S74_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_73_S74_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_73_S74_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_73_S74_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_73_S74_L004_R2_001.fastq.gz,KD8_p1_73_possorted_genome_bam.bam,KD8_p1_73_possorted_genome_bam.bam.bai,KD8_p1_73_barcodes.tsv.gz,KD8_p1_73_features.tsv.gz,KD8_p1_73_matrix.mtx.gz
KD8_p1_74,69,KD8_seq1_p1_mRNA_74_S75_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_74_S75_L001_R2_001.fastq.gz,KD8_seq1_p1_mRNA_74_S75_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_74_S75_L002_R2_001.fastq.gz,KD8_seq1_p1_mRNA_74_S75_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_74_S75_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_74_S75_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_74_S75_L004_R2_001.fastq.gz,KD8_seq2_p1_mRNA_74_S75_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_74_S75_L004_R2_001.fastq.gz,KD8_seq2_p1_mRNA_74_S75_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_74_S75_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_74_S75_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_74_S75_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_74_S75_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_74_S75_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_74_S75_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_74_S75_L001_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_74_S75_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_74_S75_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_74_S75_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_74_S75_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_74_S75_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_74_S75_L004_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_74_S75_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_74_S75_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_74_S75_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_74_S75_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_74_S75_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_74_S75_L003_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_74_S75_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_74_S75_L004_R2_001.fastq.gz,KD8_p1_74_possorted_genome_bam.bam,KD8_p1_74_possorted_genome_bam.bam.bai,KD8_p1_74_barcodes.tsv.gz,KD8_p1_74_features.tsv.gz,KD8_p1_74_matrix.mtx.gz
KD8_p1_75,70,KD8_seq1_p1_mRNA_75_S76_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_75_S76_L004_R2_001.fastq.gz,KD8_seq1_p1_mRNA_75_S76_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_75_S76_L002_R2_001.fastq.gz,KD8_seq1_p1_mRNA_75_S76_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_75_S76_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_75_S76_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_75_S76_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_75_S76_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_75_S76_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_75_S76_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_75_S76_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_75_S76_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_75_S76_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_75_S76_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_75_S76_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_75_S76_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_75_S76_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_75_S76_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_75_S76_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_75_S76_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_75_S76_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_75_S76_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_75_S76_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_75_S76_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_75_S76_L004_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_75_S76_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_75_S76_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_75_S76_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_75_S76_L003_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_75_S76_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_75_S76_L001_R2_001.fastq.gz,KD8_p1_75_possorted_genome_bam.bam,KD8_p1_75_possorted_genome_bam.bam.bai,KD8_p1_75_barcodes.tsv.gz,KD8_p1_75_features.tsv.gz,KD8_p1_75_matrix.mtx.gz
KD8_p1_76,71,KD8_seq1_p1_mRNA_76_S77_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_76_S77_L004_R2_001.fastq.gz,KD8_seq1_p1_mRNA_76_S77_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_76_S77_L001_R2_001.fastq.gz,KD8_seq1_p1_mRNA_76_S77_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_76_S77_L002_R2_001.fastq.gz,KD8_seq1_p1_mRNA_76_S77_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_76_S77_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_76_S77_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_76_S77_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_76_S77_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_76_S77_L002_R2_001.fastq.gz,KD8_seq2_p1_mRNA_76_S77_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_76_S77_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_76_S77_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_76_S77_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_76_S77_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_76_S77_L004_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_76_S77_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_76_S77_L001_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_76_S77_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_76_S77_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_76_S77_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_76_S77_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_76_S77_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_76_S77_L004_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_76_S77_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_76_S77_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_76_S77_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_76_S77_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_76_S77_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_76_S77_L003_R2_001.fastq.gz,KD8_p1_76_possorted_genome_bam.bam,KD8_p1_76_possorted_genome_bam.bam.bai,KD8_p1_76_barcodes.tsv.gz,KD8_p1_76_features.tsv.gz,KD8_p1_76_matrix.mtx.gz
KD8_p1_77,72,KD8_seq1_p1_mRNA_77_S78_L001_R1_001.fastq.gz,KD8_seq1_p1_mRNA_77_S78_L001_R2_001.fastq.gz,KD8_seq1_p1_mRNA_77_S78_L003_R1_001.fastq.gz,KD8_seq1_p1_mRNA_77_S78_L003_R2_001.fastq.gz,KD8_seq1_p1_mRNA_77_S78_L002_R1_001.fastq.gz,KD8_seq1_p1_mRNA_77_S78_L002_R2_001.fastq.gz,KD8_seq1_p1_mRNA_77_S78_L004_R1_001.fastq.gz,KD8_seq1_p1_mRNA_77_S78_L004_R2_001.fastq.gz,KD8_seq2_p1_mRNA_77_S78_L004_R1_001.fastq.gz,KD8_seq2_p1_mRNA_77_S78_L004_R2_001.fastq.gz,KD8_seq2_p1_mRNA_77_S78_L001_R1_001.fastq.gz,KD8_seq2_p1_mRNA_77_S78_L001_R2_001.fastq.gz,KD8_seq2_p1_mRNA_77_S78_L003_R1_001.fastq.gz,KD8_seq2_p1_mRNA_77_S78_L003_R2_001.fastq.gz,KD8_seq2_p1_mRNA_77_S78_L002_R1_001.fastq.gz,KD8_seq2_p1_mRNA_77_S78_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_77_S78_L001_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_77_S78_L001_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_77_S78_L002_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_77_S78_L002_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_77_S78_L003_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_77_S78_L003_R2_001.fastq.gz,KD8_seq1_p1_sgRNA_77_S78_L004_R1_001.fastq.gz,KD8_seq1_p1_sgRNA_77_S78_L004_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_77_S78_L001_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_77_S78_L001_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_77_S78_L003_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_77_S78_L003_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_77_S78_L002_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_77_S78_L002_R2_001.fastq.gz,KD8_seq2_p1_sgRNA_77_S78_L004_R1_001.fastq.gz,KD8_seq2_p1_sgRNA_77_S78_L004_R2_001.fastq.gz,KD8_p1_77_possorted_genome_bam.bam,KD8_p1_77_possorted_genome_bam.bam.bai,KD8_p1_77_barcodes.tsv.gz,KD8_p1_77_features.tsv.gz,KD8_p1_77_matrix.mtx.gz
