Run,Age,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,Tissue,AssemblyName
SRR19653100,day 8,OTHER,98,57736361606,ATCC,PRJNA831566,SAMN28561242,Human,12938247549,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","s3,gs","s3.us-east-1,gs.US",SRX15703120,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_7,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653101,day 8,OTHER,98,56358066184,ATCC,PRJNA831566,SAMN28561242,Human,12947242420,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","s3,gs","s3.us-east-1,gs.US",SRX15703119,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_72,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653102,day 8,OTHER,98,44842527184,ATCC,PRJNA831566,SAMN28561242,Human,10174103093,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","gs,s3","s3.us-east-1,gs.US",SRX15703118,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_71,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653103,day 8,OTHER,98,44143381366,ATCC,PRJNA831566,SAMN28561242,Human,10006496090,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX15703117,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_70,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653104,day 8,OTHER,98,48418276802,ATCC,PRJNA831566,SAMN28561242,Human,11364328978,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","gs,s3","gs.US,s3.us-east-1",SRX15703116,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_69,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653105,day 8,OTHER,98,46330258422,ATCC,PRJNA831566,SAMN28561242,Human,11043707026,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","s3,gs","gs.US,s3.us-east-1",SRX15703115,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_68,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653106,day 8,OTHER,98,52630970560,ATCC,PRJNA831566,SAMN28561242,Human,12294256109,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","s3,gs","s3.us-east-1,gs.US",SRX15703114,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_67,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653107,day 8,OTHER,98,33356357216,ATCC,PRJNA831566,SAMN28561242,Human,7621721897,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","gs,s3","s3.us-east-1,gs.US",SRX15703113,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_66,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653108,day 8,OTHER,98,46661751262,ATCC,PRJNA831566,SAMN28561242,Human,11075208141,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","s3,gs","gs.US,s3.us-east-1",SRX15703112,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_64,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653109,day 8,OTHER,98,48353161486,ATCC,PRJNA831566,SAMN28561242,Human,10860968418,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","gs,s3","s3.us-east-1,gs.US",SRX15703111,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_63,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653110,day 8,OTHER,98,40324982572,ATCC,PRJNA831566,SAMN28561242,Human,8974929276,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX15703110,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_62,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653111,day 8,OTHER,98,42530191998,ATCC,PRJNA831566,SAMN28561242,Human,9547672669,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","s3,gs","gs.US,s3.us-east-1",SRX15703109,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_6,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653113,day 8,OTHER,98,59742661020,ATCC,PRJNA831566,SAMN28561242,Human,14074815213,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","s3,gs","gs.US,s3.us-east-1",SRX15703107,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_60,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653114,day 8,OTHER,98,49960973202,ATCC,PRJNA831566,SAMN28561242,Human,11457413130,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","gs,s3","gs.US,s3.us-east-1",SRX15703106,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_59,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653115,day 8,OTHER,98,43653372546,ATCC,PRJNA831566,SAMN28561242,Human,10052704308,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX15703105,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_58,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653116,day 8,OTHER,98,59856294960,ATCC,PRJNA831566,SAMN28561242,Human,13802076228,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","s3,gs","s3.us-east-1,gs.US",SRX15703104,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_57,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653117,day 8,OTHER,98,44010026886,ATCC,PRJNA831566,SAMN28561242,Human,10501525840,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX15703103,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_93,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653118,day 8,OTHER,98,42738297644,ATCC,PRJNA831566,SAMN28561242,Human,9788817602,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX15703102,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_27,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653119,day 8,OTHER,98,27431272708,ATCC,PRJNA831566,SAMN28561242,Human,6580694957,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX15703101,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_92,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653122,day 8,OTHER,98,36300180098,ATCC,PRJNA831566,SAMN28561242,Human,8725890110,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX15703098,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_88,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653123,day 8,OTHER,98,48860477008,ATCC,PRJNA831566,SAMN28561242,Human,11804569114,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX15703097,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_87,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653124,day 8,OTHER,98,52853798060,ATCC,PRJNA831566,SAMN28561242,Human,12414256303,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX15703096,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_86,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653125,day 8,OTHER,98,33763947742,ATCC,PRJNA831566,SAMN28561242,Human,8144056484,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX15703095,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_85,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653126,day 8,OTHER,98,50094333758,ATCC,PRJNA831566,SAMN28561242,Human,12648036565,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","gs,s3","gs.US,s3.us-east-1",SRX15703094,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_84,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653127,day 8,OTHER,98,37291851702,ATCC,PRJNA831566,SAMN28561242,Human,9592237304,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX15703093,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_83,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653128,day 8,OTHER,98,31479634382,ATCC,PRJNA831566,SAMN28561242,Human,7991749596,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX15703092,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_82,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653129,day 8,OTHER,98,45157371588,ATCC,PRJNA831566,SAMN28561242,Human,10661360499,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX15703091,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_26,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653130,day 8,OTHER,98,39657917642,ATCC,PRJNA831566,SAMN28561242,Human,9948791939,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","s3,gs","gs.US,s3.us-east-1",SRX15703090,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_81,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653132,day 8,OTHER,98,41516667864,ATCC,PRJNA831566,SAMN28561242,Human,9756790043,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","gs,s3","gs.US,s3.us-east-1",SRX15703088,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_79,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653133,day 8,OTHER,98,41460361474,ATCC,PRJNA831566,SAMN28561242,Human,10067628425,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX15703087,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_78,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653135,day 8,OTHER,98,44449094718,ATCC,PRJNA831566,SAMN28561242,Human,10450524859,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","gs,s3","s3.us-east-1,gs.US",SRX15703085,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_76,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653136,day 8,OTHER,98,39831644594,ATCC,PRJNA831566,SAMN28561242,Human,9559978307,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX15703084,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_75,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653137,day 8,OTHER,98,53781785050,ATCC,PRJNA831566,SAMN28561242,Human,12778358489,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX15703083,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_74,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653138,day 8,OTHER,98,37236591266,ATCC,PRJNA831566,SAMN28561242,Human,9175515696,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","gs,s3","gs.US,s3.us-east-1",SRX15703082,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_73,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653139,day 8,OTHER,98,50992532864,ATCC,PRJNA831566,SAMN28561242,Human,13150168397,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","s3,gs","gs.US,s3.us-east-1",SRX15703081,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_72,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653140,day 8,OTHER,98,53299132012,ATCC,PRJNA831566,SAMN28561242,Human,12192461094,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX15703080,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p1_25,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653141,day 8,OTHER,98,40330662064,ATCC,PRJNA831566,SAMN28561242,Human,9611568938,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","s3,gs","gs.US,s3.us-east-1",SRX15703079,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_71,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653142,day 8,OTHER,98,43296888432,ATCC,PRJNA831566,SAMN28561242,Human,10899982915,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX15703078,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_70,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653143,day 8,OTHER,98,44684935246,ATCC,PRJNA831566,SAMN28561242,Human,11021929872,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","s3,gs","gs.US,s3.us-east-1",SRX15703077,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_69,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653144,day 8,OTHER,98,52892401240,ATCC,PRJNA831566,SAMN28561242,Human,13547776427,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX15703076,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_68,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653145,day 8,OTHER,98,54576810540,ATCC,PRJNA831566,SAMN28561242,Human,13360608918,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","s3,gs","gs.US,s3.us-east-1",SRX15703075,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_67,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653146,day 8,OTHER,98,43883914802,ATCC,PRJNA831566,SAMN28561242,Human,10480612325,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX15703074,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_66,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653147,day 8,OTHER,98,40720347108,ATCC,PRJNA831566,SAMN28561242,Human,10131702121,WHITEHEAD INSTITUTE / UCSF,public,"sra,TenX","s3,gs","s3.us-east-1,gs.US",SRX15703073,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_65,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653148,day 8,OTHER,98,46449779614,ATCC,PRJNA831566,SAMN28561242,Human,10836003902,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","gs,s3","s3.us-east-1,gs.US",SRX15703072,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_63,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
SRR19653149,day 8,OTHER,98,44635559318,ATCC,PRJNA831566,SAMN28561242,Human,10653726016,WHITEHEAD INSTITUTE / UCSF,public,"TenX,sra","s3,gs","gs.US,s3.us-east-1",SRX15703071,Illumina NovaSeq 6000,K562 day 8 Perturb-seq,KD8_p3_62,PAIRED,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-06-14T00:00:00Z,K562_day_8_genome_scale,female,SRP376262,CML,GCA_000001405.29
