transcript_id,transcript_name,gene_id,gene_name,ensembl_id,utr_rank,utr_rank_expr,utr_wt,mui,is_su,is_lu,seqnames,end,strand
ENST00000338565.3-UTR-356,ZFX-202-UTR-356,ENSG00000005889.16,ZFX,ENSG00000005889,2,1,0,0.10752319272278771,FALSE,FALSE,chrX,24211630,+
ENST00000379177.5-UTR-1583,ZFX-203-UTR-1583,ENSG00000005889.16,ZFX,ENSG00000005889,5,2,0.5,0.6727872966402368,TRUE,FALSE,chrX,24214506,+
ENST00000304543.10,ZFX-201,ENSG00000005889.16,ZFX,ENSG00000005889,7,3,1,0.2041786088888762,FALSE,TRUE,chrX,24216255,+
ENST00000353258.8-UTR-1300,GDE1-201-UTR-1300,ENSG00000006007.12,GDE1,ENSG00000006007,2,1,0,0.39413658537203544,TRUE,FALSE,chr16,19502992,-
ENST00000353258.8-UTR-329,GDE1-201-UTR-329,ENSG00000006007.12,GDE1,ENSG00000006007,3,2,0.5,0.4550863831439918,FALSE,TRUE,chr16,19502021,-
ENST00000353258.8,GDE1-201,ENSG00000006007.12,GDE1,ENSG00000006007,4,3,1,0.15077703148397278,FALSE,FALSE,chr16,19501692,-
ENST00000612116.5,AP2B1-213,ENSG00000006125.18,AP2B1,ENSG00000006125,4,1,0,0.36536163983476166,TRUE,FALSE,chr17,35724091,+
ENST00000610402.5,AP2B1-211,ENSG00000006125.18,AP2B1,ENSG00000006125,6,2,1,0.6245612061683488,FALSE,TRUE,chr17,35726413,+
ENST00000575823.1,ZNF263-208,ENSG00000006194.10,ZNF263,ENSG00000006194,3,1,0,0.4591559943080754,TRUE,FALSE,chr16,3289875,+
ENST00000574674.1,ZNF263-206,ENSG00000006194.10,ZNF263,ENSG00000006194,7,2,1,0.5408440056919246,FALSE,TRUE,chr16,3301401,+
ENST00000555993.6,MAP3K9-206,ENSG00000006432.16,MAP3K9,ENSG00000006432,4,1,0,0.5984689948815509,TRUE,FALSE,chr14,70729650,-
ENST00000554752.7,MAP3K9-205,ENSG00000006432.16,MAP3K9,ENSG00000006432,5,2,1,0.38889341848983106,FALSE,TRUE,chr14,70722525,-
ENST00000005257.7-UTR-1506,RALA-201-UTR-1506,ENSG00000006451.8,RALA,ENSG00000006451,1,1,0,0.46338234704326675,TRUE,FALSE,chr7,39706614,+
ENST00000005257.7,RALA-201,ENSG00000006451.8,RALA,ENSG00000006451,2,2,1,0.5366176529567332,FALSE,TRUE,chr7,39708120,+
ENST00000005260.9-UTR-1537,BAIAP2L1-201-UTR-1537,ENSG00000006453.14,BAIAP2L1,ENSG00000006453,2,1,0,0.7673442189584281,TRUE,FALSE,chr7,98293186,-
ENST00000005260.9,BAIAP2L1-201,ENSG00000006453.14,BAIAP2L1,ENSG00000006453,3,2,1,0.23265578104157186,FALSE,TRUE,chr7,98291649,-
ENST00000397560.7-UTR-5470,KDM7A-201-UTR-5470,ENSG00000006459.11,KDM7A,ENSG00000006459,2,1,0,0.26432816374563944,TRUE,FALSE,chr7,140090215,-
ENST00000397560.7,KDM7A-201,ENSG00000006459.11,KDM7A,ENSG00000006459,4,2,1,0.6976713739335099,FALSE,TRUE,chr7,140084745,-
ENST00000403685.5,ETV1-204,ENSG00000006468.14,ETV1,ENSG00000006468,1,1,0,0.12244333924415382,FALSE,FALSE,chr7,13895857,-
ENST00000403527.5,ETV1-203,ENSG00000006468.14,ETV1,ENSG00000006468,4,2,0.5,0.348146172743729,TRUE,FALSE,chr7,13894154,-
ENST00000405358.8,ETV1-207,ENSG00000006468.14,ETV1,ENSG00000006468,6,3,1,0.22104059686972796,FALSE,TRUE,chr7,13893267,-
ENST00000411851.3,TBXA2R-202,ENSG00000006638.13,TBXA2R,ENSG00000006638,1,1,0,0.5771255842401102,TRUE,FALSE,chr19,3594779,-
ENST00000375190.10,TBXA2R-201,ENSG00000006638.13,TBXA2R,ENSG00000006638,3,2,1,0.4228744157598898,FALSE,TRUE,chr19,3594506,-
ENST00000395969.6,VPS41-203,ENSG00000006715.16,VPS41,ENSG00000006715,2,1,0,0.7153339846038338,TRUE,FALSE,chr7,38725554,-
ENST00000310301.9-UTR-1009,VPS41-202-UTR-1009,ENSG00000006715.16,VPS41,ENSG00000006715,3,2,0.5,0.1816483738360764,FALSE,TRUE,chr7,38723982,-
ENST00000310301.9,VPS41-202,ENSG00000006715.16,VPS41,ENSG00000006715,4,3,1,0.10301764156008972,FALSE,FALSE,chr7,38722973,-
ENST00000262444.13,ARHGAP44-201,ENSG00000006740.18,ARHGAP44,ENSG00000006740,2,1,0,0.4140625,TRUE,FALSE,chr17,12990584,+
ENST00000340825.7,ARHGAP44-202,ENSG00000006740.18,ARHGAP44,ENSG00000006740,3,2,1,0.5859375,FALSE,TRUE,chr17,12991643,+
ENST00000519209.5,SCIN-209,ENSG00000006747.15,SCIN,ENSG00000006747,2,1,0,0.2753354240943296,TRUE,FALSE,chr7,12653602,+
ENST00000297029.10,SCIN-201,ENSG00000006747.15,SCIN,ENSG00000006747,6,2,1,0.6758490170309296,FALSE,TRUE,chr7,12660182,+
ENST00000458014.1,ARSD-203,ENSG00000006756.16,ARSD,ENSG00000006756,1,1,0,0.7478260869565218,TRUE,FALSE,chrX,2904917,-
ENST00000381154.6,ARSD-202,ENSG00000006756.16,ARSD,ENSG00000006756,2,2,1,0.25217391304347825,FALSE,TRUE,chrX,2903971,-
ENST00000357103.5-UTR-2415,ADIPOR2-201-UTR-2415,ENSG00000006831.10,ADIPOR2,ENSG00000006831,1,1,0,0.6246109351735933,TRUE,FALSE,chr12,1786259,+
ENST00000357103.5,ADIPOR2-201,ENSG00000006831.10,ADIPOR2,ENSG00000006831,2,2,1,0.3753890648264067,FALSE,TRUE,chr12,1788674,+
ENST00000300843.8-UTR-1915,MARK4-202-UTR-1915,ENSG00000007047.16,MARK4,ENSG00000007047,2,1,0,0.14638147118636158,TRUE,FALSE,chr19,45303368,+
ENST00000300843.8-UTR-1615,MARK4-202-UTR-1615,ENSG00000007047.16,MARK4,ENSG00000007047,3,2,1,0.7534330725912702,FALSE,TRUE,chr19,45303668,+
ENST00000528896.7-UTR-263,KIAA0100-202-UTR-263,ENSG00000007202.15,KIAA0100,ENSG00000007202,3,1,0,0.1523629341035802,TRUE,FALSE,chr17,28614708,-
ENST00000528896.7,KIAA0100-202,ENSG00000007202.15,KIAA0100,ENSG00000007202,4,2,1,0.8476370658964197,FALSE,TRUE,chr17,28614445,-
ENST00000369669.5,ST7L-207,ENSG00000007341.19,ST7L,ENSG00000007341,3,1,0,0.47165362611475686,TRUE,FALSE,chr1,112525882,-
ENST00000360743.8-UTR-1372,ST7L-203-UTR-1372,ENSG00000007341.19,ST7L,ENSG00000007341,4,2,0.5,0.2060407201749958,FALSE,FALSE,chr1,112524889,-
ENST00000358039.9,ST7L-202,ENSG00000007341.19,ST7L,ENSG00000007341,6,3,1,0.32230565371024733,FALSE,TRUE,chr1,112523513,-
ENST00000638965.1,PAX6-245,ENSG00000007372.25,PAX6,ENSG00000007372,5,1,0,0.49336970094850213,TRUE,FALSE,chr11,31789829,-
ENST00000379132.8,PAX6-208,ENSG00000007372.25,PAX6,ENSG00000007372,12,2,1,0.4775451190171115,FALSE,TRUE,chr11,31788907,-
ENST00000349606.4-UTR-1382,MYLIP-201-UTR-1382,ENSG00000007944.15,MYLIP,ENSG00000007944,1,1,0,0.504809555426361,TRUE,FALSE,chr6,16146866,+
ENST00000349606.4,MYLIP-201,ENSG00000007944.15,MYLIP,ENSG00000007944,3,2,1,0.49519044457363903,FALSE,TRUE,chr6,16148248,+
ENST00000397311.4-UTR-970,JARID2-202-UTR-970,ENSG00000008083.14,JARID2,ENSG00000008083,1,1,0,0.557386372865379,TRUE,FALSE,chr6,15521070,+
ENST00000397311.4-UTR-408,JARID2-202-UTR-408,ENSG00000008083.14,JARID2,ENSG00000008083,2,2,0.5,0.14069906083318043,FALSE,FALSE,chr6,15521632,+
ENST00000341776.7,JARID2-201,ENSG00000008083.14,JARID2,ENSG00000008083,6,3,1,0.3019145663014406,FALSE,TRUE,chr6,15522042,+
ENST00000393655.4-UTR-4219,TFAP2B-202-UTR-4219,ENSG00000008196.13,TFAP2B,ENSG00000008196,1,1,0,0.6026458091452412,TRUE,FALSE,chr6,50843400,+
ENST00000393655.4-UTR-3889,TFAP2B-202-UTR-3889,ENSG00000008196.13,TFAP2B,ENSG00000008196,2,2,0.5,0.2536055640072629,FALSE,TRUE,chr6,50843730,+
ENST00000393655.4,TFAP2B-202,ENSG00000008196.13,TFAP2B,ENSG00000008196,3,3,1,0.1437486268474958,FALSE,FALSE,chr6,50847619,+
ENST00000426930.5,ADAM22-208,ENSG00000008277.15,ADAM22,ENSG00000008277,4,1,0,0.19113303799167672,FALSE,FALSE,chr7,88196757,+
ENST00000398204.8-UTR-4360,ADAM22-204-UTR-4360,ENSG00000008277.15,ADAM22,ENSG00000008277,5,2,0.3333333333333333,0.2536246476037052,TRUE,FALSE,chr7,88198529,+
ENST00000398204.8-UTR-2587,ADAM22-204-UTR-2587,ENSG00000008277.15,ADAM22,ENSG00000008277,6,3,0.6666666666666666,0.35300040273862265,FALSE,TRUE,chr7,88200302,+
ENST00000398204.8,ADAM22-204,ENSG00000008277.15,ADAM22,ENSG00000008277,7,4,1,0.20224191166599542,FALSE,FALSE,chr7,88202889,+
ENST00000464029.5,SYPL1-204,ENSG00000008282.9,SYPL1,ENSG00000008282,2,1,0,0.33057049865027094,TRUE,FALSE,chr7,106091406,-
ENST00000011473.6-UTR+143,SYPL1-201-UTR+143,ENSG00000008282.9,SYPL1,ENSG00000008282,5,2,1,0.6642850126622976,FALSE,TRUE,chr7,106090361,-
ENST00000582297.5,CYB561-216,ENSG00000008283.16,CYB561,ENSG00000008283,8,1,0,0.6139219139024169,TRUE,FALSE,chr17,63433144,-
ENST00000360793.8,CYB561-201,ENSG00000008283.16,CYB561,ENSG00000008283,11,2,1,0.38607808609758304,FALSE,TRUE,chr17,63432303,-
ENST00000505279.5,SPAG9-205,ENSG00000008294.22,SPAG9,ENSG00000008294,3,1,0,0.5141552255153201,TRUE,FALSE,chr17,50965626,-
ENST00000510283.5,SPAG9-209,ENSG00000008294.22,SPAG9,ENSG00000008294,4,2,0.5,0.26287676661538173,FALSE,TRUE,chr17,50965074,-
ENST00000262013.12,SPAG9-201,ENSG00000008294.22,SPAG9,ENSG00000008294,6,3,1,0.21384273119171124,FALSE,FALSE,chr17,50962173,-
ENST00000262966.12,MPND-201,ENSG00000008382.16,MPND,ENSG00000008382,7,1,0,0.6591563709610836,TRUE,FALSE,chr19,4360086,+
ENST00000262966.12-UTR+4639,MPND-201-UTR+4639,ENSG00000008382.16,MPND,ENSG00000008382,8,2,1,0.3408436290389164,FALSE,TRUE,chr19,4364725,+
ENST00000587260.1,NFIX-208,ENSG00000008441.19,NFIX,ENSG00000008441,7,1,0,0.5263618201004967,TRUE,FALSE,chr19,13094770,+
ENST00000360105.8-UTR-1299,NFIX-202-UTR-1299,ENSG00000008441.19,NFIX,ENSG00000008441,9,2,0.5,0.19206123342718925,FALSE,FALSE,chr19,13097497,+
ENST00000360105.8,NFIX-202,ENSG00000008441.19,NFIX,ENSG00000008441,10,3,1,0.21239407169630065,FALSE,TRUE,chr19,13098796,+
ENST00000519685.5,RHOBTB2-205,ENSG00000008853.18,RHOBTB2,ENSG00000008853,1,1,0,0.23044705875942847,TRUE,FALSE,chr8,23018441,+
ENST00000692529.1,RHOBTB2-210,ENSG00000008853.18,RHOBTB2,ENSG00000008853,4,2,1,0.6884337615010818,FALSE,TRUE,chr8,23020509,+
ENST00000480708.5,SEC62-207,ENSG00000008952.17,SEC62,ENSG00000008952,1,1,0,0.1765402962730298,TRUE,FALSE,chr3,169993831,+
ENST00000337002.9-UTR-3592,SEC62-201-UTR-3592,ENSG00000008952.17,SEC62,ENSG00000008952,8,2,0.5,0.6350633903593693,FALSE,TRUE,chr3,169994781,+
ENST00000337002.9-UTR-1912,SEC62-201-UTR-1912,ENSG00000008952.17,SEC62,ENSG00000008952,13,3,1,0.11283833192506569,FALSE,FALSE,chr3,169996461,+
ENST00000618656.2,RPS20-212,ENSG00000008988.11,RPS20,ENSG00000008988,9,1,0,0.3284713965004739,TRUE,FALSE,chr8,56067253,-
ENST00000618656.2-UTR+2441,RPS20-212-UTR+2441,ENSG00000008988.11,RPS20,ENSG00000008988,10,2,1,0.671528603499526,FALSE,TRUE,chr8,56064812,-
ENST00000534699.5,CSDE1-217,ENSG00000009307.17,CSDE1,ENSG00000009307,2,1,0,0.4287568330804297,TRUE,FALSE,chr1,114717956,-
ENST00000261443.9,CSDE1-201,ENSG00000009307.17,CSDE1,ENSG00000009307,5,2,0.5,0.36279966912381567,FALSE,TRUE,chr1,114717294,-
ENST00000339438.10,CSDE1-202,ENSG00000009307.17,CSDE1,ENSG00000009307,11,3,1,0.20844349779575458,FALSE,FALSE,chr1,114716912,-
ENST00000348165.10-UTR-791,UBE3C-201-UTR-791,ENSG00000009335.18,UBE3C,ENSG00000009335,3,1,0,0.22443524584590535,TRUE,FALSE,chr7,157268579,+
ENST00000348165.10,UBE3C-201,ENSG00000009335.18,UBE3C,ENSG00000009335,4,2,1,0.7755647541540946,FALSE,TRUE,chr7,157269370,+
ENST00000229447.9-UTR-5387,IYD-201-UTR-5387,ENSG00000009765.15,IYD,ENSG00000009765,7,1,0,0.8981541249938575,TRUE,FALSE,chr6,150399241,+
ENST00000344419.8,IYD-202,ENSG00000009765.15,IYD,ENSG00000009765,14,2,1,0.10184587500614248,FALSE,TRUE,chr6,150405969,+
ENST00000010299.10,FAM76A-201,ENSG00000009780.16,FAM76A,ENSG00000009780,4,1,0,0.136675598102883,TRUE,FALSE,chr1,27760581,+
ENST00000373949.5-UTR-362,FAM76A-203-UTR-362,ENSG00000009780.16,FAM76A,ENSG00000009780,7,2,0.5,0.12226627094263402,FALSE,FALSE,chr1,27761602,+
ENST00000373949.5,FAM76A-203,ENSG00000009780.16,FAM76A,ENSG00000009780,8,3,1,0.5737957928927399,FALSE,TRUE,chr1,27761964,+
ENST00000682795.1,POMT2-235,ENSG00000009830.13,POMT2,ENSG00000009830,2,1,0,0.6641310329866618,TRUE,FALSE,chr14,77277007,-
ENST00000261534.9,POMT2-201,ENSG00000009830.13,POMT2,ENSG00000009830,5,2,1,0.33586896701333824,FALSE,TRUE,chr14,77274955,-
ENST00000367621.1,VTA1-201,ENSG00000009844.16,VTA1,ENSG00000009844,2,1,0,0.2701076794333139,TRUE,FALSE,chr6,142219067,+
ENST00000452973.6-UTR-1080,VTA1-203-UTR-1080,ENSG00000009844.16,VTA1,ENSG00000009844,5,2,0.5,0.5902425033365463,FALSE,TRUE,chr6,142219866,+
ENST00000452973.6,VTA1-203,ENSG00000009844.16,VTA1,ENSG00000009844,7,3,1,0.12908256518228223,FALSE,FALSE,chr6,142220946,+
ENST00000404251.1,BAZ1B-202,ENSG00000009954.11,BAZ1B,ENSG00000009954,1,1,0,0.340736368484927,TRUE,FALSE,chr7,73441564,-
ENST00000339594.9,BAZ1B-201,ENSG00000009954.11,BAZ1B,ENSG00000009954,2,2,1,0.6592636315150731,FALSE,TRUE,chr7,73440405,-
