target_gene,target_gene_id,sgID_AB,cluster_id
ACTR6,ENSG00000075089,ACTR6_-_100594606.23-P1P2|ACTR6_-_100594617.23-P1P2,2
ACTR8,ENSG00000113812,ACTR8_+_53916142.23-P1P2|ACTR8_+_53916157.23-P1P2,8
ADAT2,ENSG00000189007,ADAT2_-_143771826.23-P1P2|ADAT2_+_143771740.23-P1P2,15
ADAT3,ENSG00000213638,ADAT3_+_1907955.23-P2|ADAT3_+_1908004.23-P2,8
ADRM1,ENSG00000130706,ADRM1_+_60878013.23-P1P2|ADRM1_-_60878073.23-P1P2,15
ADSL,ENSG00000239900,ADSL_-_40742737.23-P1P2|ADSL_-_40742729.23-P1P2,1
AHCTF1,ENSG00000153207,AHCTF1_-_247095134.23-P1P2|AHCTF1_+_247094988.23-P1P2,15
AHCY,ENSG00000101444,AHCY_-_32891145.23-P1P2|AHCY_-_32890950.23-P1P2,15
AIFM1,ENSG00000156709,AIFM1_-_129299770.23-P1P2|AIFM1_+_129299638.23-P1P2,15
AKIRIN2,ENSG00000135334,AKIRIN2_-_88411464.23-P1P2|AKIRIN2_+_88411936.23-P1P2,15
ALDOA,ENSG00000149925,ALDOA_+_30077139.23-P1P2|ALDOA_+_30077177.23-P1P2,13
ALG1,ENSG00000033011,ALG1_+_5122098.23-P1P2|ALG1_+_5121857.23-P1P2,8
ALG11,ENSG00000253710,ALG11_+_52586530.23-P1P2|ALG11_-_52586543.23-P1P2,8
ALG13,ENSG00000101901,ALG13_+_110924898.23-P1P2|ALG13_+_110924465.23-P1P2,15
ALG14,ENSG00000172339,ALG14_+_95538155.23-P1P2|ALG14_+_95538302.23-P1P2,15
ALG1L,ENSG00000189366,ALG1L_-_125655482.23-ENST00000340333.3|ALG1L_-_125655452.23-ENST00000340333.3,15
ALG2,ENSG00000119523,ALG2_-_101984133.23-P1P2|ALG2_+_101984159.23-P1P2,8
ALYREF,ENSG00000183684,ALYREF_-_79849458.23-P1P2|ALYREF_-_79849452.23-P1P2,17
ANAPC1,ENSG00000153107,ANAPC1_-_112641691.23-P1P2|ANAPC1_-_112641707.23-P1P2,15
ANAPC11,ENSG00000141552,ANAPC11_-_79849637.23-P1P2|ANAPC11_+_79849685.23-P1P2,15
ANAPC13,ENSG00000129055,ANAPC13_-_134204795.23-P1P2|ANAPC13_+_134204787.23-P1P2,15
ANAPC15,ENSG00000110200,ANAPC15_+_71823713.23-P1P2|ANAPC15_-_71823727.23-P1P2,15
ANAPC2,ENSG00000176248,ANAPC2_+_140082989.23-P1P2|ANAPC2_+_140082980.23-P1P2,2
ANAPC4,ENSG00000053900,ANAPC4_+_25378934.23-P1P2|ANAPC4_-_25378954.23-P1P2,2
ANAPC5,ENSG00000089053,ANAPC5_+_121790181.23-P1P2|ANAPC5_-_121790201.23-P1P2,15
ANKLE2,ENSG00000176915,ANKLE2_+_133338375.23-P1P2|ANKLE2_+_133338404.23-P1P2,15
ANKRD11,ENSG00000167522,ANKRD11_+_89556932.23-P1P2|ANKRD11_-_89556765.23-P1P2,15
ANKRD49,ENSG00000168876,ANKRD49_+_94226755.23-P1P2|ANKRD49_-_94226994.23-P1P2,15
ANKS6,ENSG00000165138,ANKS6_+_101558408.23-P1P2|ANKS6_-_101558384.23-P1P2,15
ANLN,ENSG00000011426,ANLN_-_36429483.23-P1P2|ANLN_+_36429487.23-P1P2,15
AP2M1,ENSG00000161203,AP2M1_+_183894722.23-P2|AP2M1_+_183894728.23-P2,15
AP2S1,ENSG00000042753,AP2S1_-_47354086.23-P1P2|AP2S1_-_47354099.23-P1P2,8
AQP7,ENSG00000165269,AQP7_+_33402012.23-P1P2|AQP7_+_33402004.23-P1P2,15
AQR,ENSG00000021776,AQR_+_35261872.23-P1P2|AQR_-_35261877.23-P1P2,11
ARCN1,ENSG00000095139,ARCN1_-_118443144.23-P1P2|ARCN1_+_118443216.23-P1P2,8
ARF4,ENSG00000168374,ARF4_-_57583033.23-P1P2|ARF4_+_57583046.23-P1P2,15
ARFRP1,ENSG00000101246,ARFRP1_-_62338974.23-P1P2|ARFRP1_+_62339198.23-P1P2,15
ARGFX,ENSG00000186103,ARGFX_-_121286824.23-P1P2|ARGFX_-_121286860.23-P1P2,15
ARGLU1,ENSG00000134884,ARGLU1_+_107220466.23-P1P2|ARGLU1_-_107220477.23-P1P2,8
ARHGAP11B,ENSG00000284906,ARHGAP11B_-_30918382.23-P1P2|ARHGAP11B_-_30918429.23-P1P2,15
ARID3A,ENSG00000116017,ARID3A_+_926082.23-P1P2|ARID3A_-_926025.23-P1P2,8
ARIH1,ENSG00000166233,ARIH1_-_72766733.23-P1P2|ARIH1_-_72766686.23-P1P2,1
ARL2,ENSG00000213465,ARL2_-_64781781.23-P1P2|ARL2_+_64781852.23-P1P2,2
ARL4D,ENSG00000175906,ARL4D_-_41476546.23-P1P2|ARL4D_-_41476396.23-P1P2,15
ARMC6,ENSG00000105676,ARMC6_+_19144442.23-P1P2|ARMC6_-_19144470.23-P1P2,8
ARMC7,ENSG00000125449,ARMC7_+_73106080.23-P1P2|ARMC7_-_73106057.23-P1P2,8
ARPC2,ENSG00000163466,ARPC2_-_219081923.23-P1|ARPC2_-_219081929.23-P1,15
ARPC2,ENSG00000163466,ARPC2_+_219103598.23-P2|ARPC2_-_219103608.23-P2,8
ARPC3,ENSG00000111229,ARPC3_-_110883364.23-P2|ARPC3_+_110883121.23-P2,15
ARPC4,ENSG00000241553,ARPC4_-_9834808.23-P1P2|ARPC4_-_9834275.23-P1P2,15
ASF1B,ENSG00000105011,ASF1B_+_14247360.23-P1P2|ASF1B_-_14247349.23-P1P2,15
GET3,ENSG00000198356,ASNA1_+_12848373.23-P1P2|ASNA1_+_12848657.23-P1P2,8
ATF4,ENSG00000128272,ATF4_-_39916548.23-P1P2|ATF4_-_39917038.23-P1P2,8
ATF5,ENSG00000169136,ATF5_+_50432696.23-P1P2|ATF5_+_50432424.23-P1P2,7
ATL2,ENSG00000119787,ATL2_+_38604354.23-P1P2|ATL2_+_38604046.23-P1P2,15
ATP1A1,ENSG00000163399,ATP1A1_-_116915944.23-P1P2|ATP1A1_-_116915929.23-P1P2,1
ATP2A2,ENSG00000174437,ATP2A2_+_110719114.23-P1P2|ATP2A2_+_110719087.23-P1P2,15
ATP6AP1,ENSG00000071553,ATP6AP1_-_153657070.23-P1P2|ATP6AP1_-_153657047.23-P1P2,1
ATP6AP2,ENSG00000182220,ATP6AP2_+_40440259.23-P1P2|ATP6AP2_+_40440237.23-P1P2,15
ATP6V0B,ENSG00000117410,ATP6V0B_+_44440710.23-P1P2|ATP6V0B_-_44440640.23-P1P2,8
ATP6V0C,ENSG00000185883,ATP6V0C_+_2564168.23-P1P2|ATP6V0C_-_2563995.23-P1P2,16
ATP6V0D1,ENSG00000159720,ATP6V0D1_-_67515053.23-P1P2|ATP6V0D1_-_67515028.23-P1P2,15
ATP6V1A,ENSG00000114573,ATP6V1A_-_113465930.23-P1P2|ATP6V1A_+_113465895.23-P1P2,8
ATP6V1B2,ENSG00000147416,ATP6V1B2_-_20054940.23-P1P2|ATP6V1B2_+_20054954.23-P1P2,1
ATP6V1C1,ENSG00000155097,ATP6V1C1_-_104033344.23-P1P2|ATP6V1C1_-_104033365.23-P1P2,8
ATP6V1D,ENSG00000100554,ATP6V1D_+_67826485.23-P1P2|ATP6V1D_+_67826497.23-P1P2,8
ATP6V1E1,ENSG00000131100,ATP6V1E1_+_18111483.23-P1P2|ATP6V1E1_-_18111500.23-P1P2,8
ATP6V1F,ENSG00000128524,ATP6V1F_-_128502898.23-P1P2|ATP6V1F_+_128503227.23-P1P2,8
ATP6V1G1,ENSG00000136888,ATP6V1G1_+_117350079.23-P1P2|ATP6V1G1_-_117350067.23-P1P2,8
ATP6V1H,ENSG00000047249,ATP6V1H_-_54755805.23-P1P2|ATP6V1H_-_54755777.23-P1P2,8
ATR,ENSG00000175054,ATR_-_142297649.23-P1P2|ATR_+_142297571.23-P1P2,15
ATRIP,ENSG00000164053,ATRIP_-_48488199.23-P1P2|ATRIP_-_48488160.23-P1P2,15
AURKA,ENSG00000087586,AURKA_-_54967108.23-P1P2|AURKA_+_54967204.23-P1P2,2
AURKAIP1,ENSG00000175756,AURKAIP1_+_1310516.23-P1P2|AURKAIP1_-_1310395.23-P1P2,12
AURKB,ENSG00000178999,AURKB_-_8113518.23-P1P2|AURKB_-_8113837.23-P1P2,19
BANF1,ENSG00000175334,BANF1_+_65770320.23-P1P2|BANF1_-_65770396.23-P1P2,15
BANP,ENSG00000172530,BANP_+_87985113.23-P1P2|BANP_+_87985096.23-P1P2,15
BAP1,ENSG00000163930,BAP1_+_52443980.23-P1P2|BAP1_+_52443883.23-P1P2,15
BARD1,ENSG00000138376,BARD1_+_215674388.23-P1P2|BARD1_+_215674399.23-P1P2,15
BCAR1,ENSG00000050820,BCAR1_-_75285241.23-P1|BCAR1_+_75285561.23-P1,15
BCAR1,ENSG00000050820,BCAR1_+_75299843.23-P2|BCAR1_+_75299852.23-P2,15
BCAS2,ENSG00000116752,BCAS2_+_115124198.23-P1P2|BCAS2_-_115124045.23-P1P2,11
BCL2L1,ENSG00000171552,BCL2L1_-_30310581.23-P1|BCL2L1_+_30310660.23-P1,15
BCL2L1,ENSG00000171552,BCL2L1_-_30311293.23-P2|BCL2L1_+_30311683.23-P2,8
BCLAF1,ENSG00000029363,BCLAF1_+_136610935.23-P1P2|BCLAF1_-_136610528.23-P1P2,8
BCR,ENSG00000186716,BCR_-_23523174.23-P1P2|BCR_-_23522920.23-P1P2,1
BCS1L,ENSG00000074582,BCS1L_-_219524504.23-P1P2|BCS1L_-_219524485.23-P1P2,15
BDP1,ENSG00000145734,BDP1_+_70751690.23-P1P2|BDP1_-_70751510.23-P1P2,7
BET1,ENSG00000105829,BET1_-_93633620.23-P1P2|BET1_-_93633591.23-P1P2,15
BGLAP,ENSG00000242252,BGLAP_+_156183115.23-P1P2|BGLAP_-_156182840.23-P1P2,2
BIRC5,ENSG00000089685,BIRC5_-_76210386.23-P1P2|BIRC5_+_76210725.23-P1P2,19
BNIP1,ENSG00000113734,BNIP1_-_172571554.23-P1P2|BNIP1_+_172572005.23-P1P2,12
BOP1,ENSG00000261236,BOP1_-_145512830.23-P2|BOP1_+_145512867.23-P2,15
BOP1,ENSG00000261236,BOP1_+_145515084.23-P1|BOP1_+_145515090.23-P1,23
BORA,ENSG00000136122,BORA_+_73302094.23-P1P2|BORA_-_73302125.23-P1P2,8
BPTF,ENSG00000171634,BPTF_+_65821601.23-P1P2|BPTF_-_65821672.23-P1P2,15
BRCA1,ENSG00000012048,BRCA1_-_41277370.23-P1P2|BRCA1_-_41277311.23-P1P2,15
BRCA2,ENSG00000139618,BRCA2_+_32889673.23-P1P2|BRCA2_-_32889662.23-P1P2,15
BRD4,ENSG00000141867,BRD4_-_15391173.23-ENST00000263377.2-ENST00000371835.4|BRD4_-_15391126.23-ENST00000263377.2-ENST00000371835.4,15
BRD8,ENSG00000112983,BRD8_+_137514287.23-P1P2|BRD8_+_137513959.23-P1P2,2
BRF1,ENSG00000185024,BRF1_-_105767306.23-P1P2|BRF1_+_105767309.23-P1P2,8
BRF2,ENSG00000104221,BRF2_-_37707367.23-P1P2|BRF2_-_37707179.23-P1P2,15
BRIP1,ENSG00000136492,BRIP1_-_59940486.23-P1P2|BRIP1_+_59940833.23-P1P2,15
BRIX1,ENSG00000113460,BRIX1_-_34916034.23-P1P2|BRIX1_-_34915874.23-P1P2,8
BRK1,ENSG00000254999,BRK1_-_10157414.23-P1P2|BRK1_-_10157427.23-P1P2,15
BTF3,ENSG00000145741,BTF3_-_72794314.23-P1P2|BTF3_+_72794288.23-P1P2,15
BTF3L4,ENSG00000134717,BTF3L4_+_52521967.23-P1P2|BTF3L4_+_52522155.23-P1P2,15
BUB1,ENSG00000169679,BUB1_-_111435363.23-P1P2|BUB1_-_111435372.23-P1P2,15
BUB1B,ENSG00000156970,BUB1B_-_40453297.23-P1P2|BUB1B_-_40453273.23-P1P2,15
BUB3,ENSG00000154473,BUB3_-_124913930.23-P1P2|BUB3_-_124913938.23-P1P2,2
BUD13,ENSG00000137656,BUD13_-_116643492.23-P1P2|BUD13_+_116643652.23-P1P2,14
BUD31,ENSG00000106245,BUD31_+_99006639.23-P1P2|BUD31_+_99006585.23-P1P2,19
BYSL,ENSG00000112578,BYSL_-_41889282.23-P1P2|BYSL_-_41889603.23-P1P2,22
C12orf45,ENSG00000151131,C12orf45_-_105380143.23-P1P2|C12orf45_-_105380117.23-P1P2,22
C12orf60,ENSG00000182993,C12orf60_-_14956657.23-P1P2|C12orf60_-_14956629.23-P1P2,11
C14orf178,ENSG00000197734,C14orf178_+_78227426.23-P1P2|C14orf178_+_78227476.23-P1P2,11
C16orf86,ENSG00000159761,C16orf86_+_67700770.23-P1P2|C16orf86_+_67700726.23-P1P2,15
C17orf58,ENSG00000186665,C17orf58_+_65989617.23-P1P2|C17orf58_-_65989632.23-P1P2,15
C19orf25,ENSG00000119559,C19orf25_+_1479146.23-P1P2|C19orf25_+_1479200.23-P1P2,15
C19orf53,ENSG00000104979,C19orf53_-_13885302.23-P1P2|C19orf53_+_13885284.23-P1P2,15
C1D,ENSG00000197223,C1D_+_68290088.23-P1P2|C1D_+_68289917.23-P1P2,8
C1orf109,ENSG00000116922,C1orf109_+_38156159.23-P1|C1orf109_-_38156166.23-P1,15
C1orf109,ENSG00000116922,C1orf109_+_38157864.23-P2|C1orf109_-_38157872.23-P2,15
C1QBP,ENSG00000108561,C1QBP_-_5342366.23-P1P2|C1QBP_-_5342105.23-P1P2,1
C1QTNF4,ENSG00000172247,C1QTNF4_-_47615942.23-P1P2|C1QTNF4_-_47615924.23-P1P2,15
NEPRO,ENSG00000163608,C3orf17_-_112738463.23-P1P2|C3orf17_+_112738436.23-P1P2,18
C6orf15,ENSG00000204542,C6orf15_+_31080311.23-P1P2|C6orf15_-_31080269.23-P1P2,15
C7orf26,ENSG00000146576,C7orf26_+_6629657.23-P1P2|C7orf26_+_6629704.23-P1P2,1
C7orf50,ENSG00000146540,C7orf50_+_1177904.23-ENST00000357429.6-ENST00000397098.3-ENST00000397100.2|C7orf50_+_1177839.23-ENST00000357429.6-ENST00000397098.3-ENST00000397100.2,15
C9orf16,ENSG00000171159,C9orf16_+_130922603.23-P1P2|C9orf16_+_130922642.23-P1P2,15
C9orf78,ENSG00000136819,C9orf78_-_132597510.23-P1P2|C9orf78_+_132597511.23-P1P2,15
CA5A,ENSG00000174990,CA5A_+_87969813.23-P1P2|CA5A_+_87969837.23-P1P2,15
CACNB3,ENSG00000167535,CACNB3_+_49209404.23-P2|CACNB3_-_49209408.23-P2,15
CACNB3,ENSG00000167535,CACNB3_+_49212320.23-P1|CACNB3_+_49212331.23-P1,15
CACTIN,ENSG00000105298,CACTIN_-_3626762.23-P1P2|CACTIN_-_3626555.23-P1P2,14
CADM4,ENSG00000105767,CADM4_+_44143915.23-P1P2|CADM4_+_44143932.23-P1P2,15
CAMLG,ENSG00000164615,CAMLG_+_134074264.23-P1P2|CAMLG_+_134074249.23-P1P2,8
CAPZB,ENSG00000077549,CAPZB_-_19812015.23-P1P2|CAPZB_-_19811972.23-P1P2,8
CASP8AP2,ENSG00000118412,CASP8AP2_-_90539614.23-P1P2|CASP8AP2_-_90539622.23-P1P2,21
CBLL1,ENSG00000105879,CBLL1_-_107384626.23-P1P2|CBLL1_-_107384632.23-P1P2,15
CBLN1,ENSG00000102924,CBLN1_+_49315691.23-P1P2|CBLN1_+_49315694.23-P1P2,15
CBX1,ENSG00000108468,CBX1_+_46178553.23-P1P2|CBX1_-_46178513.23-P1P2,15
CCAR1,ENSG00000060339,CCAR1_-_70481039.23-P1P2|CCAR1_-_70481045.23-P1P2,15
CCDC115,ENSG00000136710,CCDC115_+_131099673.23-P1P2|CCDC115_+_131099730.23-P1P2,15
CCDC130,ENSG00000104957,CCDC130_-_13858696.23-P1|CCDC130_-_13858757.23-P1,15
CCDC130,ENSG00000104957,CCDC130_+_13842618.23-P2|CCDC130_-_13842623.23-P2,15
CCDC137,ENSG00000185298,CCDC137_-_79633788.23-P1P2|CCDC137_-_79633802.23-P1P2,15
CCDC144A,ENSG00000170160,CCDC144A_-_16593812.23-P1P2|CCDC144A_-_16593586.23-P1P2,15
CCDC144NL,ENSG00000205212,CCDC144NL_-_20799255.23-P2|CCDC144NL_+_20799243.23-P2,8
CCDC144NL,ENSG00000205212,CCDC144NL_+_20771514.23-P1|CCDC144NL_+_20771332.23-P1,8
CCDC174,ENSG00000154781,CCDC174_-_14693290.23-P1P2|CCDC174_-_14693310.23-P1P2,1
CCDC59,ENSG00000133773,CCDC59_+_82752125.23-P1P2|CCDC59_+_82752145.23-P1P2,15
CCDC78,ENSG00000162004,CCDC78_-_776828.23-P1P2|CCDC78_-_776428.23-P1P2,8
CCDC84,ENSG00000186166,CCDC84_-_118868873.23-P1P2|CCDC84_-_118868904.23-P1P2,8
CCDC86,ENSG00000110104,CCDC86_-_60609589.23-P1P2|CCDC86_-_60609614.23-P1P2,23
CCNB1,ENSG00000134057,CCNB1_-_68463002.23-P1P2|CCNB1_+_68463036.23-P1P2,8
CCND1,ENSG00000110092,CCND1_-_69455972.23-P1|CCND1_+_69455918.23-P1,15
CCND1,ENSG00000110092,CCND1_-_69467368.23-P2|CCND1_+_69467581.23-P2,15
CCNH,ENSG00000134480,CCNH_+_86708689.23-P1P2|CCNH_-_86708719.23-P1P2,5
CCNK,ENSG00000090061,CCNK_-_99947816.23-P1|CCNK_-_99947838.23-P1,8
CCNK,ENSG00000090061,CCNK_+_99969115.23-P2|CCNK_+_99969150.23-P2,15
CCNL1,ENSG00000163660,CCNL1_+_156877490.23-P1P2|CCNL1_+_156877964.23-P1P2,15
CCP110,ENSG00000103540,CCP110_+_19535267.23-P1P2|CCP110_-_19535293.23-P1P2,15
CCT2,ENSG00000166226,CCT2_-_69979656.23-P1P2|CCT2_-_69979270.23-P1P2,28
CCT3,ENSG00000163468,CCT3_+_156308067.23-P1P2|CCT3_-_156307863.23-P1P2,28
CCT4,ENSG00000115484,CCT4_-_62115399.23-P1P2|CCT4_+_62115687.23-P1P2,28
CCT5,ENSG00000150753,CCT5_+_10250403.23-P1P2|CCT5_+_10250415.23-P1P2,28
CCT6A,ENSG00000146731,CCT6A_-_56119502.23-P1P2|CCT6A_+_56119524.23-P1P2,28
CCT7,ENSG00000135624,CCT7_-_73461472.23-P1P2|CCT7_-_73461481.23-P1P2,28
CCT8,ENSG00000156261,CCT8_+_30445740.23-P1P2|CCT8_-_30446001.23-P1P2,28
CD2BP2,ENSG00000169217,CD2BP2_-_30366557.23-P1P2|CD2BP2_-_30366596.23-P1P2,8
CD3EAP,ENSG00000117877,CD3EAP_-_45909922.23-P1P2|CD3EAP_+_45909934.23-P1P2,22
CD8B,ENSG00000172116,CD8B_-_87088921.23-P1P2|CD8B_+_87088914.23-P1P2,8
CDAN1,ENSG00000140326,CDAN1_+_43029296.23-P1P2|CDAN1_-_43029292.23-P1P2,15
CDC123,ENSG00000151465,CDC123_-_12238200.23-P1P2|CDC123_+_12238270.23-P1P2,8
CDC16,ENSG00000130177,CDC16_-_115000772.23-P1P2|CDC16_+_115000554.23-P1P2,2
CDC20,ENSG00000117399,CDC20_-_43824668.23-P1P2|CDC20_-_43824671.23-P1P2,2
CDC23,ENSG00000094880,CDC23_-_137548987.23-P1P2|CDC23_+_137548970.23-P1P2,2
CDC26,ENSG00000176386,CDC26_+_116037656.23-P1P2|CDC26_+_116037488.23-P1P2,2
CDC27,ENSG00000004897,CDC27_+_45266576.23-P1P2|CDC27_+_45266436.23-P1P2,15
CDC37,ENSG00000105401,CDC37_+_10506514.23-P1P2|CDC37_-_10506403.23-P1P2,8
CDC40,ENSG00000168438,CDC40_+_110501678.23-P1P2|CDC40_-_110501684.23-P1P2,14
CDC42,ENSG00000070831,CDC42_+_22379552.23-P1P2|CDC42_+_22379247.23-P1P2,15
CDC45,ENSG00000093009,CDC45_+_19467483.23-P1P2|CDC45_+_19467480.23-P1P2,15
CDC5L,ENSG00000096401,CDC5L_-_44355475.23-P1P2|CDC5L_+_44355934.23-P1P2,11
CDC6,ENSG00000094804,CDC6_+_38444169.23-P1P2|CDC6_-_38444255.23-P1P2,1
CDC7,ENSG00000097046,CDC7_+_91966607.23-P1P2|CDC7_+_91966603.23-P1P2,1
CDC73,ENSG00000134371,CDC73_-_193091272.23-P1P2|CDC73_+_193091167.23-P1P2,14
CDCA5,ENSG00000146670,CDCA5_-_64851508.23-P1P2|CDCA5_-_64851512.23-P1P2,8
CDCA8,ENSG00000134690,CDCA8_+_38158230.23-P1P2|CDCA8_-_38158209.23-P1P2,8
CDIPT,ENSG00000103502,CDIPT_+_29874463.23-P1P2|CDIPT_+_29874410.23-P1P2,15
CDK1,ENSG00000170312,CDK1_-_62538284.23-P1P2|CDK1_+_62538309.23-P1P2,1
CDK11A,ENSG00000008128,CDK11A_+_1655695.23-P1P2|CDK11A_+_1655752.23-P1P2,15
CDK2,ENSG00000123374,CDK2_-_56360602.23-P1P2|CDK2_+_56360661.23-P1P2,8
CDK9,ENSG00000136807,CDK9_-_130548401.23-P1P2|CDK9_-_130548749.23-P1P2,8
CEBPZ,ENSG00000115816,CEBPZ_+_37458499.23-P1P2|CEBPZ_+_37458694.23-P1P2,23
CENPA,ENSG00000115163,CENPA_-_27008953.23-P2|CENPA_-_27008942.23-P2,8
CENPA,ENSG00000115163,CENPA_+_26987565.23-P1|CENPA_-_26987167.23-P1,1
CENPC,ENSG00000145241,CENPC_-_68411108.23-P1P2|CENPC_-_68411111.23-P1P2,15
CENPE,ENSG00000138778,CENPE_+_104119357.23-P1P2|CENPE_+_104119466.23-P1P2,19
CENPH,ENSG00000153044,CENPH_-_68485438.23-P1P2|CENPH_+_68485427.23-P1P2,15
CENPI,ENSG00000102384,CENPI_-_100353207.23-P1P2|CENPI_+_100353181.23-P1P2,8
CENPJ,ENSG00000151849,CENPJ_+_25496834.23-P1P2|CENPJ_+_25496971.23-P1P2,23
CENPK,ENSG00000123219,CENPK_+_64858943.23-P1P2|CENPK_+_64858912.23-P1P2,11
CENPN,ENSG00000166451,CENPN_-_81040819.23-P1P2|CENPN_-_81040900.23-P1P2,15
CENPT,ENSG00000102901,CENPT_-_67867769.23-P1P2|CENPT_+_67867777.23-P1P2,15
CENPW,ENSG00000203760,CENPW_+_126661305.23-P1P2|CENPW_-_126661477.23-P1P2,2
CEP152,ENSG00000103995,CEP152_+_49103224.23-P1P2|CEP152_+_49103178.23-P1P2,8
CEP192,ENSG00000101639,CEP192_+_12991384.23-P1P2|CEP192_+_12991736.23-P1P2,15
CEP68,ENSG00000011523,CEP68_-_65283588.23-P1P2|CEP68_-_65283603.23-P1P2,15
CEP85,ENSG00000130695,CEP85_-_26560720.23-P1P2|CEP85_-_26560748.23-P1P2,8
CEP97,ENSG00000182504,CEP97_+_101443780.23-P1P2|CEP97_-_101443523.23-P1P2,15
CFDP1,ENSG00000153774,CFDP1_-_75448185.23-P2|CFDP1_-_75448478.23-P2,15
CFDP1,ENSG00000153774,CFDP1_+_75467325.23-P1|CFDP1_-_75467319.23-P1,15
CHAF1A,ENSG00000167670,CHAF1A_-_4402710.23-P1P2|CHAF1A_+_4402728.23-P1P2,21
CHAF1B,ENSG00000159259,CHAF1B_+_37757745.23-P1P2|CHAF1B_+_37757724.23-P1P2,21
CHCHD1,ENSG00000172586,CHCHD1_-_75541863.23-P1P2|CHCHD1_-_75541853.23-P1P2,8
CHCHD2,ENSG00000106153,CHCHD2_-_56174016.23-P1P2|CHCHD2_+_56174001.23-P1P2,15
CHCHD4,ENSG00000163528,CHCHD4_+_14166228.23-P1P2|CHCHD4_-_14166123.23-P1P2,12
CHD4,ENSG00000111642,CHD4_+_6716555.23-P1P2|CHD4_-_6716063.23-P1P2,8
CHEK1,ENSG00000149554,CHEK1_-_125495912.23-P1P2|CHEK1_-_125495934.23-P1P2,15
CHERP,ENSG00000085872,CHERP_+_16653219.23-P1P2|CHERP_-_16653216.23-P1P2,2
CHMP1A,ENSG00000131165,CHMP1A_+_89723672.23-P1P2|CHMP1A_-_89724068.23-P1P2,26
CHMP2A,ENSG00000130724,CHMP2A_-_59066282.23-P1P2|CHMP2A_+_59066434.23-P1P2,8
CHMP3,ENSG00000115561,CHMP3_-_86790522.23-P1P2|CHMP3_-_86790451.23-P1P2,26
CHMP4B,ENSG00000101421,CHMP4B_-_32399280.23-P1P2|CHMP4B_-_32399446.23-P1P2,15
CHMP5,ENSG00000086065,CHMP5_+_33265229.23-P1P2|CHMP5_-_33265093.23-P1P2,8
CHMP6,ENSG00000176108,CHMP6_-_78965692.23-P1P2|CHMP6_+_78965716.23-P1P2,8
CHMP7,ENSG00000147457,CHMP7_-_23104167.23-P1P2|CHMP7_-_23104196.23-P1P2,15
